
##########  RSMA  ##########

Initial Conditions: R1p 9.38389112, R2p 9.28296155, R1c 0.71060783, R2c 0.69910493, Rov = 19.36595759, ||Pc|| 16.00000000, ||Pk|| 64.00000000
opt value: 1509.42357190 at 125, PS gt1    0, R1p 9.61967263, R2p 9.50128713, R1c 0.66999499, R2c 0.66987182, Rov = 19.79083158
opt value: 1509.41291898 at 126, PS gt1    0, R1p 9.61967228, R2p 9.50128808, R1c 0.66999525, R2c 0.66987184, Rov = 19.79083221
opt value: 1509.43111001 at 127, PS gt1    0, R1p 9.61967194, R2p 9.50128901, R1c 0.66999550, R2c 0.66987186, Rov = 19.79083281
opt value: 1509.41805662 at 128, PS gt1    0, R1p 9.61967160, R2p 9.50128994, R1c 0.66999574, R2c 0.66987188, Rov = 19.79083342
opt value: 1509.41218840 at 129, PS gt1    0, R1p 9.61967125, R2p 9.50129088, R1c 0.66999599, R2c 0.66987189, Rov = 19.79083403
opt value: 1509.42277721 at 130, PS gt1    0, R1p 9.61967091, R2p 9.50129181, R1c 0.66999624, R2c 0.66987191, Rov = 19.79083464
opt value: 1509.42717150 at 131, PS gt1    0, R1p 9.61967058, R2p 9.50129273, R1c 0.66999648, R2c 0.66987193, Rov = 19.79083523
opt value: 1509.41207911 at 132, PS gt1    0, R1p 9.61967023, R2p 9.50129366, R1c 0.66999673, R2c 0.66987194, Rov = 19.79083584
opt value: 1509.39837703 at 133, PS gt1    0, R1p 9.61966987, R2p 9.50129463, R1c 0.66999700, R2c 0.66987197, Rov = 19.79083648
opt value: 1509.43799037 at 134, PS gt1    0, R1p 9.61966953, R2p 9.50129557, R1c 0.66999725, R2c 0.66987199, Rov = 19.79083709
opt value: 1509.42457288 at 135, PS gt1    0, R1p 9.61966919, R2p 9.50129650, R1c 0.66999750, R2c 0.66987201, Rov = 19.79083770
opt value: 1509.39798351 at 136, PS gt1    0, R1p 9.61966882, R2p 9.50129748, R1c 0.66999777, R2c 0.66987203, Rov = 19.79083833
opt value: 1509.46205234 at 137, PS gt1    0, R1p 9.61966849, R2p 9.50129839, R1c 0.66999800, R2c 0.66987205, Rov = 19.79083892
opt value: 1509.42676642 at 138, PS gt1    0, R1p 9.61966816, R2p 9.50129929, R1c 0.66999823, R2c 0.66987206, Rov = 19.79083951
opt value: 1509.45356288 at 139, PS gt1    0, R1p 9.61966785, R2p 9.50130015, R1c 0.66999843, R2c 0.66987205, Rov = 19.79084005
opt value: 1509.39641251 at 140, PS gt1    0, R1p 9.61966752, R2p 9.50130105, R1c 0.66999865, R2c 0.66987206, Rov = 19.79084064
opt value: 1509.41538375 at 141, PS gt1    0, R1p 9.61966718, R2p 9.50130197, R1c 0.66999889, R2c 0.66987208, Rov = 19.79084123
opt value: 1509.40490788 at 142, PS gt1    0, R1p 9.61966683, R2p 9.50130291, R1c 0.66999914, R2c 0.66987210, Rov = 19.79084184
opt value: 1509.44273743 at 143, PS gt1    0, R1p 9.61966650, R2p 9.50130382, R1c 0.66999938, R2c 0.66987211, Rov = 19.79084243
opt value: 1509.41996381 at 144, PS gt1    0, R1p 9.61966616, R2p 9.50130474, R1c 0.66999962, R2c 0.66987212, Rov = 19.79084303
opt value: 1509.41812109 at 145, PS gt1    0, R1p 9.61966582, R2p 9.50130566, R1c 0.66999986, R2c 0.66987214, Rov = 19.79084362
opt value: 1509.42430541 at 146, PS gt1    0, R1p 9.61966547, R2p 9.50130660, R1c 0.67000010, R2c 0.66987215, Rov = 19.79084422
opt value: 1509.43004871 at 147, PS gt1    0, R1p 9.61966514, R2p 9.50130751, R1c 0.67000034, R2c 0.66987217, Rov = 19.79084481
opt value: 1509.42475996 at 148, PS gt1    0, R1p 9.61966480, R2p 9.50130843, R1c 0.67000058, R2c 0.66987218, Rov = 19.79084540
opt value: 1509.41456161 at 149, PS gt1    0, R1p 9.61966445, R2p 9.50130935, R1c 0.67000082, R2c 0.66987220, Rov = 19.79084600
opt value: 1509.43258676 at 150, PS gt1    0, R1p 9.61966411, R2p 9.50131027, R1c 0.67000106, R2c 0.66987221, Rov = 19.79084659
opt value: 1509.41238423 at 151, PS gt1    0, R1p 9.61966376, R2p 9.50131121, R1c 0.67000131, R2c 0.66987223, Rov = 19.79084720
opt value: 1509.43150482 at 152, PS gt1    0, R1p 9.61966342, R2p 9.50131212, R1c 0.67000155, R2c 0.66987224, Rov = 19.79084779
opt value: 1509.42855206 at 153, PS gt1    0, R1p 9.61966308, R2p 9.50131304, R1c 0.67000178, R2c 0.66987226, Rov = 19.79084838
opt value: 1509.42929420 at 154, PS gt1    0, R1p 9.61966275, R2p 9.50131395, R1c 0.67000201, R2c 0.66987227, Rov = 19.79084896
opt value: 1509.41615520 at 155, PS gt1    0, R1p 9.61966240, R2p 9.50131488, R1c 0.67000226, R2c 0.66987229, Rov = 19.79084956
opt value: 1509.43566549 at 156, PS gt1    0, R1p 9.61966206, R2p 9.50131579, R1c 0.67000250, R2c 0.66987230, Rov = 19.79085015
opt value: 1509.43501662 at 157, PS gt1    0, R1p 9.61966172, R2p 9.50131669, R1c 0.67000272, R2c 0.66987231, Rov = 19.79085072
opt value: 1509.41816084 at 158, PS gt1    0, R1p 9.61966139, R2p 9.50131760, R1c 0.67000295, R2c 0.66987232, Rov = 19.79085130
opt value: 1509.40397953 at 159, PS gt1    0, R1p 9.61966103, R2p 9.50131854, R1c 0.67000321, R2c 0.66987234, Rov = 19.79085191
opt value: 1509.44949657 at 160, PS gt1    0, R1p 9.61966070, R2p 9.50131944, R1c 0.67000344, R2c 0.66987235, Rov = 19.79085249
opt value: 1509.41134764 at 161, PS gt1    0, R1p 9.61966035, R2p 9.50132038, R1c 0.67000369, R2c 0.66987237, Rov = 19.79085309
opt value: 1509.44240522 at 162, PS gt1    0, R1p 9.61966001, R2p 9.50132128, R1c 0.67000392, R2c 0.66987238, Rov = 19.79085367
opt value: 1509.42404224 at 163, PS gt1    0, R1p 9.61965967, R2p 9.50132219, R1c 0.67000415, R2c 0.66987239, Rov = 19.79085425
opt value: 1509.44985438 at 164, PS gt1    0, R1p 9.61965934, R2p 9.50132307, R1c 0.67000437, R2c 0.66987240, Rov = 19.79085482
opt value: 1509.36987771 at 165, PS gt1    0, R1p 9.61965898, R2p 9.50132404, R1c 0.67000464, R2c 0.66987243, Rov = 19.79085544
opt value: 1509.46584601 at 166, PS gt1    0, R1p 9.61965863, R2p 9.50132495, R1c 0.67000488, R2c 0.66987244, Rov = 19.79085603
opt value: 1509.44359112 at 167, PS gt1    0, R1p 9.61965830, R2p 9.50132585, R1c 0.67000510, R2c 0.66987245, Rov = 19.79085660
opt value: 1509.39192333 at 168, PS gt1    0, R1p 9.61965794, R2p 9.50132680, R1c 0.67000536, R2c 0.66987247, Rov = 19.79085721
opt value: 1509.45515474 at 169, PS gt1    0, R1p 9.61965760, R2p 9.50132770, R1c 0.67000559, R2c 0.66987248, Rov = 19.79085779
