
##########  RSMA  ##########

Initial Conditions: R1p 9.38389112, R2p 9.28296155, R1c 0.71060783, R2c 0.69910493, Rov = 19.36595759, ||Pc|| 16.00000000, ||Pk|| 64.00000000
opt value: 1509.62643481 at 152, PS gt1    0, R1p 9.61927782, R2p 9.50211110, R1c 0.67018944, R2c 0.66987482, Rov = 19.79126374
opt value: 1509.62581102 at 153, PS gt1    0, R1p 9.61927553, R2p 9.50211502, R1c 0.67019041, R2c 0.66987490, Rov = 19.79126545
opt value: 1509.63246154 at 154, PS gt1    0, R1p 9.61927299, R2p 9.50211925, R1c 0.67019148, R2c 0.66987498, Rov = 19.79126722
opt value: 1509.63333719 at 155, PS gt1    0, R1p 9.61927097, R2p 9.50212280, R1c 0.67019233, R2c 0.66987506, Rov = 19.79126883
opt value: 1509.63614623 at 156, PS gt1    0, R1p 9.61926865, R2p 9.50212673, R1c 0.67019331, R2c 0.66987514, Rov = 19.79127052
opt value: 1509.62473619 at 157, PS gt1    0, R1p 9.61926642, R2p 9.50213054, R1c 0.67019425, R2c 0.66987522, Rov = 19.79127218
opt value: 1509.63061154 at 158, PS gt1    0, R1p 9.61926422, R2p 9.50213429, R1c 0.67019517, R2c 0.66987530, Rov = 19.79127382
opt value: 1509.63444384 at 159, PS gt1    0, R1p 9.61926195, R2p 9.50213813, R1c 0.67019612, R2c 0.66987538, Rov = 19.79127546
opt value: 1509.62952473 at 160, PS gt1    0, R1p 9.61925976, R2p 9.50214186, R1c 0.67019704, R2c 0.66987547, Rov = 19.79127708
opt value: 1509.62954523 at 161, PS gt1    0, R1p 9.61925761, R2p 9.50214553, R1c 0.67019795, R2c 0.66987555, Rov = 19.79127869
TimeElapsed = 43.67374750

##########  RSMA  ##########

Initial Conditions: R1p 9.61925761, R2p 9.50214553, R1c 0.67019795, R2c 0.66987555, Rov = 19.79127869, ||Pc|| 14.86469301, ||Pk|| 65.13527402
opt value: -17.79154255 at   1, R1p 9.61984203, R2p 9.50220181, R1c 0.66947720, R2c 0.66961976, C1c 0.32013815, C2c 0.34955900, Rov = 19.79174099, ||Pc|| 14.85121758, ||Pk|| 65.14874984
opt value: -17.79158951 at   2, R1p 9.61987553, R2p 9.50218515, R1c 0.66956319, R2c 0.66950009, C1c 0.32012059, C2c 0.34941514, Rov = 19.79159641, ||Pc|| 14.85083112, ||Pk|| 65.14913616
opt value: -17.79158940 at   3, R1p 9.61990863, R2p 9.50216798, R1c 0.66950167, R2c 0.66952961, C1c 0.32011483, C2c 0.34940461, Rov = 19.79159605, ||Pc|| 14.85046978, ||Pk|| 65.14949634
TimeElapsed = 0.77058510

##########  PS  ##########

Initial Conditions: R1p 9.61990863, R2p 9.50216798, R1c 0.66950167, R2c 0.66952961, Rov = 19.79157828
opt value: 1509.97799656 at   1, PS gt1    0, R1p 9.61988511, R2p 9.50221410, R1c 0.66951946, R2c 0.66953077, Rov = 19.79161868
